show_id,director_1,director_2,director_3,director_4,director_5,director_6,director_7,director_8,director_9,director_10,director_11,director_12,director_13
s80,Delhiprasad Deenadayalan,null,null,null,null,null,null,null,null,null,null,null,null
s81,Tomer Eshed,null,null,null,null,null,null,null,null,null,null,null,null
s82,Cedric Nicolas-Troyan,null,null,null,null,null,null,null,null,null,null,null,null
s83,null,null,null,null,null,null,null,null,null,null,null,null,null
s84,null,null,null,null,null,null,null,null,null,null,null,null,null
s85,JJC Skillz,Funke Akindele,null,null,null,null,null,null,null,null,null,null,null
s86,null,null,null,null,null,null,null,null,null,null,null,null,null
s87,Thomas Sieben,null,null,null,null,null,null,null,null,null,null,null,null
s88,null,null,null,null,null,null,null,null,null,null,null,null,null
s89,Marcus Clarke,null,null,null,null,null,null,null,null,null,null,null,null
s90,null,null,null,null,null,null,null,null,null,null,null,null,null
s91,Alice Waddington,null,null,null,null,null,null,null,null,null,null,null,null
s92,Mona Achache,Patricia Tourancheau,null,null,null,null,null,null,null,null,null,null,null
s93,null,null,null,null,null,null,null,null,null,null,null,null,null
s94,Alexis Almström,null,null,null,null,null,null,null,null,null,null,null,null
s95,Raja Gosnell,null,null,null,null,null,null,null,null,null,null,null,null
s96,null,null,null,null,null,null,null,null,null,null,null,null,null
s97,Stephen Kijak,null,null,null,null,null,null,null,null,null,null,null,null
s98,null,null,null,null,null,null,null,null,null,null,null,null,null
s99,null,null,null,null,null,null,null,null,null,null,null,null,null
s100,null,null,null,null,null,null,null,null,null,null,null,null,null
s101,null,null,null,null,null,null,null,null,null,null,null,null,null
s102,Chapman Way,Maclain Way,null,null,null,null,null,null,null,null,null,null,null
s103,Jason Hehir,null,null,null,null,null,null,null,null,null,null,null,null
s104,Yemi Amodu,null,null,null,null,null,null,null,null,null,null,null,null
s105,null,null,null,null,null,null,null,null,null,null,null,null,null
s106,Lijo Jose Pellissery,null,null,null,null,null,null,null,null,null,null,null,null
s107,null,null,null,null,null,null,null,null,null,null,null,null,null
s108,David de Vos,null,null,null,null,null,null,null,null,null,null,null,null
s109,null,null,null,null,null,null,null,null,null,null,null,null,null
s110,null,null,null,null,null,null,null,null,null,null,null,null,null
s111,Luis Alfaro,Javier Gómez Santander,null,null,null,null,null,null,null,null,null,null,null
s112,null,null,null,null,null,null,null,null,null,null,null,null,null
s113,Sara Colangelo,null,null,null,null,null,null,null,null,null,null,null,null
s114,Stephen Herek,null,null,null,null,null,null,null,null,null,null,null,null
s115,Rahul Rawail,null,null,null,null,null,null,null,null,null,null,null,null
s116,Jane Campion,null,null,null,null,null,null,null,null,null,null,null,null
s117,Nagesh Kukunoor,null,null,null,null,null,null,null,null,null,null,null,null
s118,Luke Holland,null,null,null,null,null,null,null,null,null,null,null,null
s119,Shanker Raman,null,null,null,null,null,null,null,null,null,null,null,null
s120,JP Habac,null,null,null,null,null,null,null,null,null,null,null,null
s121,null,null,null,null,null,null,null,null,null,null,null,null,null
s122,null,null,null,null,null,null,null,null,null,null,null,null,null
s123,Jane Campion,null,null,null,null,null,null,null,null,null,null,null,null
s124,null,null,null,null,null,null,null,null,null,null,null,null,null
s125,null,null,null,null,null,null,null,null,null,null,null,null,null
s126,null,null,null,null,null,null,null,null,null,null,null,null,null
s127,Vidhu Vinod Chopra,null,null,null,null,null,null,null,null,null,null,null,null
s128,Mark Rosman,null,null,null,null,null,null,null,null,null,null,null,null
s129,Gilles Paquet-Brenner,null,null,null,null,null,null,null,null,null,null,null,null
s130,Lasse Hallström,null,null,null,null,null,null,null,null,null,null,null,null
s131,Scott Pleydell-Pearce,null,null,null,null,null,null,null,null,null,null,null,null
s132,Ridley Scott,null,null,null,null,null,null,null,null,null,null,null,null
s133,null,null,null,null,null,null,null,null,null,null,null,null,null
s134,Neill Blomkamp,null,null,null,null,null,null,null,null,null,null,null,null
s135,Phillip Noyce,null,null,null,null,null,null,null,null,null,null,null,null
s136,Renny Harlin,null,null,null,null,null,null,null,null,null,null,null,null
s137,Anthony Minghella,null,null,null,null,null,null,null,null,null,null,null,null
s138,Simon Wincer,null,null,null,null,null,null,null,null,null,null,null,null
s139,Lasse Hallström,null,null,null,null,null,null,null,null,null,null,null,null
s140,Spike Lee,null,null,null,null,null,null,null,null,null,null,null,null
s141,Sebastián Schindel,null,null,null,null,null,null,null,null,null,null,null,null
s142,Steven C. Miller,null,null,null,null,null,null,null,null,null,null,null,null
s143,Richard LaGravenese,null,null,null,null,null,null,null,null,null,null,null,null
s144,Martin Campbell,null,null,null,null,null,null,null,null,null,null,null,null
s145,Reginald Hudlin,null,null,null,null,null,null,null,null,null,null,null,null
s146,George Jackson,Doug McHenry,null,null,null,null,null,null,null,null,null,null,null
s147,Eric Meza,null,null,null,null,null,null,null,null,null,null,null,null
s148,null,null,null,null,null,null,null,null,null,null,null,null,null
s149,Gerhard Mostert,null,null,null,null,null,null,null,null,null,null,null,null
s150,Michael Martin,null,null,null,null,null,null,null,null,null,null,null,null
s151,Michael Rymer,null,null,null,null,null,null,null,null,null,null,null,null
s152,Andrew Lau Wai-keung,Alan Mak,null,null,null,null,null,null,null,null,null,null,null
