show_id,director_1,director_2,director_3,director_4,director_5,director_6,director_7,director_8,director_9,director_10,director_11,director_12,director_13
s983,Senol Sönmez,null,null,null,null,null,null,null,null,null,null,null,null
s984,Alexis Morante,null,null,null,null,null,null,null,null,null,null,null,null
s985,Burak Aksak,null,null,null,null,null,null,null,null,null,null,null,null
s986,Kivanç Baruönü,null,null,null,null,null,null,null,null,null,null,null,null
s987,Kivanç Baruönü,null,null,null,null,null,null,null,null,null,null,null,null
s988,Rindala Kodeih,null,null,null,null,null,null,null,null,null,null,null,null
s989,Kongkiat Khomsiri,null,null,null,null,null,null,null,null,null,null,null,null
s990,Bedran Güzel,null,null,null,null,null,null,null,null,null,null,null,null
s991,Hakan Algül,null,null,null,null,null,null,null,null,null,null,null,null
s992,Marwan Nabil,null,null,null,null,null,null,null,null,null,null,null,null
s993,MIKIKO,Daito Manabe,null,null,null,null,null,null,null,null,null,null,null
s994,null,null,null,null,null,null,null,null,null,null,null,null,null
s995,Kayode Kasum,null,null,null,null,null,null,null,null,null,null,null,null
s996,Yilmaz Erdogan,Ömer Faruk Sorak,null,null,null,null,null,null,null,null,null,null,null
s997,Takashi Shimizu,null,null,null,null,null,null,null,null,null,null,null,null
s998,null,null,null,null,null,null,null,null,null,null,null,null,null
s999,null,null,null,null,null,null,null,null,null,null,null,null,null
s1000,Joe Penna,null,null,null,null,null,null,null,null,null,null,null,null
s1001,Ahishor Solomon,null,null,null,null,null,null,null,null,null,null,null,null
s1002,Curtis Graham,null,null,null,null,null,null,null,null,null,null,null,null
s1003,Gerardo Gatica,null,null,null,null,null,null,null,null,null,null,null,null
s1004,null,null,null,null,null,null,null,null,null,null,null,null,null
s1005,null,null,null,null,null,null,null,null,null,null,null,null,null
s1006,null,null,null,null,null,null,null,null,null,null,null,null,null
s1007,Suhas Kadav,null,null,null,null,null,null,null,null,null,null,null,null
s1008,Suhas Kadav,null,null,null,null,null,null,null,null,null,null,null,null
s1009,Suhas Kadav,null,null,null,null,null,null,null,null,null,null,null,null
s1010,Akshay Sanjeev Chavan,Sumit Das,null,null,null,null,null,null,null,null,null,null,null
s1011,null,null,null,null,null,null,null,null,null,null,null,null,null
s1012,null,null,null,null,null,null,null,null,null,null,null,null,null
s1013,null,null,null,null,null,null,null,null,null,null,null,null,null
s1014,John Madden,null,null,null,null,null,null,null,null,null,null,null,null
s1015,null,null,null,null,null,null,null,null,null,null,null,null,null
s1016,Edward James Olmos,null,null,null,null,null,null,null,null,null,null,null,null
s1017,Abhinay Deo,null,null,null,null,null,null,null,null,null,null,null,null
s1018,Kiran Rao,null,null,null,null,null,null,null,null,null,null,null,null
s1019,Abbas Tyrewala,null,null,null,null,null,null,null,null,null,null,null,null
s1020,Ashutosh Gowariker,null,null,null,null,null,null,null,null,null,null,null,null
s1021,Satyajit Bhatkal,null,null,null,null,null,null,null,null,null,null,null,null
s1022,Anusha Rizvi,Mahmood Farooqui,null,null,null,null,null,null,null,null,null,null,null
s1023,Aamir Khan,null,null,null,null,null,null,null,null,null,null,null,null
s1024,Shashank Khaitan,Raj Mehta,Neeraj Ghaywan,Kayoze Irani,null,null,null,null,null,null,null,null,null
s1025,Ryan Crego,null,null,null,null,null,null,null,null,null,null,null,null
s1026,null,null,null,null,null,null,null,null,null,null,null,null,null
s1027,Cassi Simonds,null,null,null,null,null,null,null,null,null,null,null,null
s1028,Guillermo del Toro,null,null,null,null,null,null,null,null,null,null,null,null
s1029,null,null,null,null,null,null,null,null,null,null,null,null,null
s1030,Tony Abulu,null,null,null,null,null,null,null,null,null,null,null,null
s1031,Mae Czarina Cruz,null,null,null,null,null,null,null,null,null,null,null,null
s1032,Stefan Westerwelle,null,null,null,null,null,null,null,null,null,null,null,null
s1033,null,null,null,null,null,null,null,null,null,null,null,null,null
s1034,Ron Howard,null,null,null,null,null,null,null,null,null,null,null,null
s1035,Justin Benson,Aaron Moorhead,null,null,null,null,null,null,null,null,null,null,null
s1036,Niki Caro,null,null,null,null,null,null,null,null,null,null,null,null
s1037,Mark Dennis,Ben Foster,null,null,null,null,null,null,null,null,null,null,null
s1038,Taranveer Singh,null,null,null,null,null,null,null,null,null,null,null,null
s1039,null,null,null,null,null,null,null,null,null,null,null,null,null
s1040,TT The Artist,null,null,null,null,null,null,null,null,null,null,null,null
s1041,null,null,null,null,null,null,null,null,null,null,null,null,null
s1042,Keiichi Sato,Yasushi Kawamura,null,null,null,null,null,null,null,null,null,null,null
s1043,Glenn Weiss,null,null,null,null,null,null,null,null,null,null,null,null
s1044,null,null,null,null,null,null,null,null,null,null,null,null,null
s1045,null,null,null,null,null,null,null,null,null,null,null,null,null
s1046,null,null,null,null,null,null,null,null,null,null,null,null,null
s1047,Michael Civille,null,null,null,null,null,null,null,null,null,null,null,null
s1048,null,null,null,null,null,null,null,null,null,null,null,null,null
s1049,null,null,null,null,null,null,null,null,null,null,null,null,null
s1050,null,null,null,null,null,null,null,null,null,null,null,null,null
s1051,Ryuichi Hiroki,null,null,null,null,null,null,null,null,null,null,null,null
s1052,null,null,null,null,null,null,null,null,null,null,null,null,null
s1053,Paul Thomas Anderson,null,null,null,null,null,null,null,null,null,null,null,null
s1054,One9,null,null,null,null,null,null,null,null,null,null,null,null
s1055,Adriano Rudiman,null,null,null,null,null,null,null,null,null,null,null,null
s1056,Luis Valdez,null,null,null,null,null,null,null,null,null,null,null,null
s1057,null,null,null,null,null,null,null,null,null,null,null,null,null
s1058,null,null,null,null,null,null,null,null,null,null,null,null,null
s1059,null,null,null,null,null,null,null,null,null,null,null,null,null
s1060,null,null,null,null,null,null,null,null,null,null,null,null,null
s1061,null,null,null,null,null,null,null,null,null,null,null,null,null
s1062,null,null,null,null,null,null,null,null,null,null,null,null,null
s1063,null,null,null,null,null,null,null,null,null,null,null,null,null
s1064,null,null,null,null,null,null,null,null,null,null,null,null,null
s1065,null,null,null,null,null,null,null,null,null,null,null,null,null
s1066,null,null,null,null,null,null,null,null,null,null,null,null,null
s1067,Cheng Wei-hao,null,null,null,null,null,null,null,null,null,null,null,null
s1068,Pass Patthanakumjon,null,null,null,null,null,null,null,null,null,null,null,null
s1069,null,null,null,null,null,null,null,null,null,null,null,null,null
s1070,Buchi Babu Sana,null,null,null,null,null,null,null,null,null,null,null,null
s1071,Fredrick Munk,null,null,null,null,null,null,null,null,null,null,null,null
s1072,Suhas Kadav,null,null,null,null,null,null,null,null,null,null,null,null
s1073,Suhas Kadav,null,null,null,null,null,null,null,null,null,null,null,null
s1074,Suhas Kadav,null,null,null,null,null,null,null,null,null,null,null,null
s1075,Suhas Kadav,null,null,null,null,null,null,null,null,null,null,null,null
s1076,Moyoung Jin,Caroline Sá,Deepti Kakkar,Fahad Mustafa,Hikaru Toda,Chico Pereira,Elaine McMillion Sheldon,null,null,null,null,null,null
s1077,Suhas Kadav,null,null,null,null,null,null,null,null,null,null,null,null
s1078,Suhas Kadav,null,null,null,null,null,null,null,null,null,null,null,null
s1079,Suhas Kadav,null,null,null,null,null,null,null,null,null,null,null,null
s1080,null,null,null,null,null,null,null,null,null,null,null,null,null
s1081,Zhao Ji,null,null,null,null,null,null,null,null,null,null,null,null
s1082,null,null,null,null,null,null,null,null,null,null,null,null,null
s1083,null,null,null,null,null,null,null,null,null,null,null,null,null
s1084,Jamie Babbit,null,null,null,null,null,null,null,null,null,null,null,null
s1085,null,null,null,null,null,null,null,null,null,null,null,null,null
s1086,Park Hoon-jung,null,null,null,null,null,null,null,null,null,null,null,null
s1087,Dare Olaitan,null,null,null,null,null,null,null,null,null,null,null,null
s1088,Hardik Mehta,null,null,null,null,null,null,null,null,null,null,null,null
s1089,Ben Falcone,null,null,null,null,null,null,null,null,null,null,null,null
s1090,Travon Free,Martin Desmond Roe,null,null,null,null,null,null,null,null,null,null,null
s1091,Angga Dwimas Sasongko,null,null,null,null,null,null,null,null,null,null,null,null
s1092,null,null,null,null,null,null,null,null,null,null,null,null,null
s1093,null,null,null,null,null,null,null,null,null,null,null,null,null
s1094,null,null,null,null,null,null,null,null,null,null,null,null,null
s1095,null,null,null,null,null,null,null,null,null,null,null,null,null
s1096,null,null,null,null,null,null,null,null,null,null,null,null,null
s1097,Steve Rolston,null,null,null,null,null,null,null,null,null,null,null,null
s1098,Shalini Kantayya,null,null,null,null,null,null,null,null,null,null,null,null
s1099,Madonne Ashwin,null,null,null,null,null,null,null,null,null,null,null,null
s1100,Enah Johnscott,null,null,null,null,null,null,null,null,null,null,null,null
s1101,Braden R. Duemmler,null,null,null,null,null,null,null,null,null,null,null,null
s1102,Cal Brunker,null,null,null,null,null,null,null,null,null,null,null,null
s1103,Steve Pink,null,null,null,null,null,null,null,null,null,null,null,null
s1104,Xiao Feng,null,null,null,null,null,null,null,null,null,null,null,null
s1105,Vince Marcello,null,null,null,null,null,null,null,null,null,null,null,null
s1106,Ricky Staub,null,null,null,null,null,null,null,null,null,null,null,null
s1107,Patrick Durham,Paul G. Volk,null,null,null,null,null,null,null,null,null,null,null
s1108,BB Sasore,null,null,null,null,null,null,null,null,null,null,null,null
s1109,Naseef Yusuf Izuddin,null,null,null,null,null,null,null,null,null,null,null,null
s1110,Appie Boudellah,Aram van de Rest,null,null,null,null,null,null,null,null,null,null,null
s1111,Sylvie Verheyde,null,null,null,null,null,null,null,null,null,null,null,null
s1112,Nick Moore,null,null,null,null,null,null,null,null,null,null,null,null
s1113,Alex Zamm,null,null,null,null,null,null,null,null,null,null,null,null
s1114,Roland Emmerich,null,null,null,null,null,null,null,null,null,null,null,null
s1115,Rajkumar Hirani,null,null,null,null,null,null,null,null,null,null,null,null
s1116,Rajesh Mapuskar,null,null,null,null,null,null,null,null,null,null,null,null
s1117,null,null,null,null,null,null,null,null,null,null,null,null,null
s1118,Lina Al Abed,null,null,null,null,null,null,null,null,null,null,null,null
s1119,James Wan,null,null,null,null,null,null,null,null,null,null,null,null
s1120,David Hackl,null,null,null,null,null,null,null,null,null,null,null,null
s1121,Takeshi Nozue,null,null,null,null,null,null,null,null,null,null,null,null
s1122,Robert Luketic,null,null,null,null,null,null,null,null,null,null,null,null
s1123,Subhash Kapoor,null,null,null,null,null,null,null,null,null,null,null,null
s1124,null,null,null,null,null,null,null,null,null,null,null,null,null
s1125,Ringo Lam,null,null,null,null,null,null,null,null,null,null,null,null
s1126,null,null,null,null,null,null,null,null,null,null,null,null,null
s1127,George Cukor,null,null,null,null,null,null,null,null,null,null,null,null
s1128,null,null,null,null,null,null,null,null,null,null,null,null,null
s1129,Tony Giglio,null,null,null,null,null,null,null,null,null,null,null,null
s1130,null,null,null,null,null,null,null,null,null,null,null,null,null
s1131,Hidenori Inoue,null,null,null,null,null,null,null,null,null,null,null,null
s1132,Hidenori Inoue,null,null,null,null,null,null,null,null,null,null,null,null
s1133,Hidenori Inoue,null,null,null,null,null,null,null,null,null,null,null,null
s1134,Don Michael Paul,null,null,null,null,null,null,null,null,null,null,null,null
s1135,Shinji Aramaki,Masaru Matsumoto,null,null,null,null,null,null,null,null,null,null,null
s1136,John Luessenhop,null,null,null,null,null,null,null,null,null,null,null,null
s1137,Hanung Bramantyo,Pandu Adjisurya,null,null,null,null,null,null,null,null,null,null,null
s1138,Bashir El Deek,null,null,null,null,null,null,null,null,null,null,null,null
s1139,Roman Polanski,null,null,null,null,null,null,null,null,null,null,null,null
s1140,Nelson McCormick,null,null,null,null,null,null,null,null,null,null,null,null
s1141,Mic Rodgers,null,null,null,null,null,null,null,null,null,null,null,null
s1142,Bejoy Nambiar,null,null,null,null,null,null,null,null,null,null,null,null
s1143,Shawn Rech,null,null,null,null,null,null,null,null,null,null,null,null
s1144,null,null,null,null,null,null,null,null,null,null,null,null,null
s1145,Peyton Reed,null,null,null,null,null,null,null,null,null,null,null,null
s1146,Julian Schnabel,null,null,null,null,null,null,null,null,null,null,null,null
s1147,Adrián García Bogliano,null,null,null,null,null,null,null,null,null,null,null,null
s1148,Jose Gomez,null,null,null,null,null,null,null,null,null,null,null,null
s1149,null,null,null,null,null,null,null,null,null,null,null,null,null
s1150,null,null,null,null,null,null,null,null,null,null,null,null,null
s1151,Jonathon Link,null,null,null,null,null,null,null,null,null,null,null,null
s1152,Blair Simmons,null,null,null,null,null,null,null,null,null,null,null,null
s1153,null,null,null,null,null,null,null,null,null,null,null,null,null
s1154,Justin Chadwick,null,null,null,null,null,null,null,null,null,null,null,null
s1155,John Hillcoat,null,null,null,null,null,null,null,null,null,null,null,null
s1156,Nadine Ibrahim,null,null,null,null,null,null,null,null,null,null,null,null
s1157,Roman White,null,null,null,null,null,null,null,null,null,null,null,null
s1158,null,null,null,null,null,null,null,null,null,null,null,null,null
s1159,null,null,null,null,null,null,null,null,null,null,null,null,null
s1160,Fermín Muguruza,null,null,null,null,null,null,null,null,null,null,null,null
s1161,Mike Hodges,null,null,null,null,null,null,null,null,null,null,null,null
s1162,null,null,null,null,null,null,null,null,null,null,null,null,null
s1163,Eylem Kaftan,null,null,null,null,null,null,null,null,null,null,null,null
s1164,null,null,null,null,null,null,null,null,null,null,null,null,null
s1165,Fernando Ayllón,null,null,null,null,null,null,null,null,null,null,null,null
s1166,Umesh Bist,null,null,null,null,null,null,null,null,null,null,null,null
s1167,null,null,null,null,null,null,null,null,null,null,null,null,null
s1168,Massimiliano Camaiti,null,null,null,null,null,null,null,null,null,null,null,null
s1169,null,null,null,null,null,null,null,null,null,null,null,null,null
s1170,null,null,null,null,null,null,null,null,null,null,null,null,null
s1171,Aleksey Tsitsilin,null,null,null,null,null,null,null,null,null,null,null,null
s1172,Ali Tabrizi,null,null,null,null,null,null,null,null,null,null,null,null
s1173,Kagiso Lediga,null,null,null,null,null,null,null,null,null,null,null,null
s1174,Jung-ah Im,null,null,null,null,null,null,null,null,null,null,null,null
s1175,null,null,null,null,null,null,null,null,null,null,null,null,null
s1176,Stephen Frears,null,null,null,null,null,null,null,null,null,null,null,null
s1177,Takuma Sato,null,null,null,null,null,null,null,null,null,null,null,null
s1178,Brody Chu,null,null,null,null,null,null,null,null,null,null,null,null
s1179,Dimitri Logothetis,null,null,null,null,null,null,null,null,null,null,null,null
s1180,null,null,null,null,null,null,null,null,null,null,null,null,null
s1181,null,null,null,null,null,null,null,null,null,null,null,null,null
s1182,null,null,null,null,null,null,null,null,null,null,null,null,null
s1183,null,null,null,null,null,null,null,null,null,null,null,null,null
s1184,Taketoshi Sado,null,null,null,null,null,null,null,null,null,null,null,null
s1185,Li Weiran,null,null,null,null,null,null,null,null,null,null,null,null
s1186,Chinaza Onuzo,null,null,null,null,null,null,null,null,null,null,null,null
s1187,null,null,null,null,null,null,null,null,null,null,null,null,null
s1188,Anna Elizabeth James,null,null,null,null,null,null,null,null,null,null,null,null
s1189,Vitor Brandt,null,null,null,null,null,null,null,null,null,null,null,null
s1190,Troy Miller,null,null,null,null,null,null,null,null,null,null,null,null
s1191,Liam O'Donnell,null,null,null,null,null,null,null,null,null,null,null,null
s1192,Manny Rodriguez,Jay Lavender,null,null,null,null,null,null,null,null,null,null,null
s1193,Farah Nabulsi,null,null,null,null,null,null,null,null,null,null,null,null
s1194,Adriano Rudiman,null,null,null,null,null,null,null,null,null,null,null,null
s1195,Walter Taylaur,null,null,null,null,null,null,null,null,null,null,null,null
s1196,Chris Smith,null,null,null,null,null,null,null,null,null,null,null,null
s1197,Alain Brunard,null,null,null,null,null,null,null,null,null,null,null,null
s1198,Tate Taylor,null,null,null,null,null,null,null,null,null,null,null,null
s1199,Ladislaus Kiraly,null,null,null,null,null,null,null,null,null,null,null,null
s1200,Oliver Stone,null,null,null,null,null,null,null,null,null,null,null,null
s1201,null,null,null,null,null,null,null,null,null,null,null,null,null
s1202,null,null,null,null,null,null,null,null,null,null,null,null,null
s1203,Hemambar Jasti,null,null,null,null,null,null,null,null,null,null,null,null
s1204,Steven Spielberg,null,null,null,null,null,null,null,null,null,null,null,null
s1205,Taylor Morden,null,null,null,null,null,null,null,null,null,null,null,null
s1206,null,null,null,null,null,null,null,null,null,null,null,null,null
s1207,null,null,null,null,null,null,null,null,null,null,null,null,null
s1208,Helena Coan,null,null,null,null,null,null,null,null,null,null,null,null
s1209,Muharrem Gülmez,null,null,null,null,null,null,null,null,null,null,null,null
s1210,Dolapo Adeleke,null,null,null,null,null,null,null,null,null,null,null,null
s1211,null,null,null,null,null,null,null,null,null,null,null,null,null
s1212,Mahsun Kirmizigül,null,null,null,null,null,null,null,null,null,null,null,null
s1213,Can Ulkay,null,null,null,null,null,null,null,null,null,null,null,null
s1214,null,null,null,null,null,null,null,null,null,null,null,null,null
s1215,Luis Alejandro Pérez,null,null,null,null,null,null,null,null,null,null,null,null
s1216,Ketche,null,null,null,null,null,null,null,null,null,null,null,null
s1217,Erol Özlevi,null,null,null,null,null,null,null,null,null,null,null,null
s1218,null,null,null,null,null,null,null,null,null,null,null,null,null
s1219,Miguel Arteta,null,null,null,null,null,null,null,null,null,null,null,null
s1220,Tolga Örnek,null,null,null,null,null,null,null,null,null,null,null,null
s1221,Pablo Agüero,null,null,null,null,null,null,null,null,null,null,null,null
s1222,Mohammad Irfan Ramly,null,null,null,null,null,null,null,null,null,null,null,null
s1223,Kevin McManus,Matthew McManus,null,null,null,null,null,null,null,null,null,null,null
s1224,Ange Basterga,Nicolas Lopez,null,null,null,null,null,null,null,null,null,null,null
s1225,null,null,null,null,null,null,null,null,null,null,null,null,null
s1226,null,null,null,null,null,null,null,null,null,null,null,null,null
s1227,null,null,null,null,null,null,null,null,null,null,null,null,null
s1228,null,null,null,null,null,null,null,null,null,null,null,null,null
s1229,Gitanjali Rao,null,null,null,null,null,null,null,null,null,null,null,null
s1230,null,null,null,null,null,null,null,null,null,null,null,null,null
s1231,Halitha Shameem,null,null,null,null,null,null,null,null,null,null,null,null
s1232,null,null,null,null,null,null,null,null,null,null,null,null,null
s1233,Carlos Moreno,null,null,null,null,null,null,null,null,null,null,null,null
s1234,Kayode Kasum,null,null,null,null,null,null,null,null,null,null,null,null
s1235,Maribel Sánchez-Maroto,null,null,null,null,null,null,null,null,null,null,null,null
s1236,null,null,null,null,null,null,null,null,null,null,null,null,null
s1237,Julien Leclercq,null,null,null,null,null,null,null,null,null,null,null,null
s1238,Fajar Bustomi,null,null,null,null,null,null,null,null,null,null,null,null
s1239,null,null,null,null,null,null,null,null,null,null,null,null,null
s1240,Taylor Hackford,null,null,null,null,null,null,null,null,null,null,null,null
s1241,Lasse Hallström,null,null,null,null,null,null,null,null,null,null,null,null
s1242,Amy Poehler,null,null,null,null,null,null,null,null,null,null,null,null
s1243,Jared Hess,Tyler Measom,null,null,null,null,null,null,null,null,null,null,null
s1244,Mike Binder,null,null,null,null,null,null,null,null,null,null,null,null
s1245,Abir Sengupta,null,null,null,null,null,null,null,null,null,null,null,null
s1246,null,null,null,null,null,null,null,null,null,null,null,null,null
s1247,Sunny Lau,null,null,null,null,null,null,null,null,null,null,null,null
s1248,Hidenori Inoue,null,null,null,null,null,null,null,null,null,null,null,null
s1249,Emmett Malloy,null,null,null,null,null,null,null,null,null,null,null,null
s1250,Xavier Maingon,Marc-Antoine Hélard,null,null,null,null,null,null,null,null,null,null,null
s1251,Milton Kremer,null,null,null,null,null,null,null,null,null,null,null,null
s1252,Kevin Costner,null,null,null,null,null,null,null,null,null,null,null,null
s1253,Marco Petry,null,null,null,null,null,null,null,null,null,null,null,null
s1254,Andrew Duncan,Ken Cunningham,null,null,null,null,null,null,null,null,null,null,null
s1255,Barry Levinson,null,null,null,null,null,null,null,null,null,null,null,null
s1256,Hidenori Inoue,null,null,null,null,null,null,null,null,null,null,null,null
s1257,Liam Lynch,null,null,null,null,null,null,null,null,null,null,null,null
s1258,null,null,null,null,null,null,null,null,null,null,null,null,null
s1259,Jérémie Degruson,Ben Stassen,null,null,null,null,null,null,null,null,null,null,null
s1260,Matt Ross,null,null,null,null,null,null,null,null,null,null,null,null
s1261,Dani de la Orden,null,null,null,null,null,null,null,null,null,null,null,null
s1262,Pablo Larraín,null,null,null,null,null,null,null,null,null,null,null,null
s1263,null,null,null,null,null,null,null,null,null,null,null,null,null
s1264,John Erick Dowdle,null,null,null,null,null,null,null,null,null,null,null,null
s1265,Jesse Peretz,null,null,null,null,null,null,null,null,null,null,null,null
s1266,Ribhu Dasgupta,null,null,null,null,null,null,null,null,null,null,null,null
s1267,Pablo Larraín,null,null,null,null,null,null,null,null,null,null,null,null
s1268,Baran bo Odar,null,null,null,null,null,null,null,null,null,null,null,null
s1269,null,null,null,null,null,null,null,null,null,null,null,null,null
s1270,Rizki Balki,null,null,null,null,null,null,null,null,null,null,null,null
s1271,null,null,null,null,null,null,null,null,null,null,null,null,null
s1272,null,null,null,null,null,null,null,null,null,null,null,null,null
s1273,null,null,null,null,null,null,null,null,null,null,null,null,null
s1274,Shunsuke Kariyama,null,null,null,null,null,null,null,null,null,null,null,null
s1275,null,null,null,null,null,null,null,null,null,null,null,null,null
s1276,null,null,null,null,null,null,null,null,null,null,null,null,null
s1277,Jeferson De,null,null,null,null,null,null,null,null,null,null,null,null
s1278,null,null,null,null,null,null,null,null,null,null,null,null,null
s1279,Troy Miller,null,null,null,null,null,null,null,null,null,null,null,null
s1280,Barry Avrich,null,null,null,null,null,null,null,null,null,null,null,null
s1281,David Tryhorn,Ben Nicholas,null,null,null,null,null,null,null,null,null,null,null
s1282,Tirumala Kishore,null,null,null,null,null,null,null,null,null,null,null,null
s1283,null,null,null,null,null,null,null,null,null,null,null,null,null
s1284,James Wan,null,null,null,null,null,null,null,null,null,null,null,null
s1285,James Wan,null,null,null,null,null,null,null,null,null,null,null,null
s1286,null,null,null,null,null,null,null,null,null,null,null,null,null
s1287,Huang Hsin-Yao,null,null,null,null,null,null,null,null,null,null,null,null
s1288,null,null,null,null,null,null,null,null,null,null,null,null,null
s1289,Chris Weitz,null,null,null,null,null,null,null,null,null,null,null,null
s1290,Saron Sakina,null,null,null,null,null,null,null,null,null,null,null,null
s1291,J Blakeson,null,null,null,null,null,null,null,null,null,null,null,null
s1292,Khalid Rahman,null,null,null,null,null,null,null,null,null,null,null,null
s1293,Luis Ara,null,null,null,null,null,null,null,null,null,null,null,null
s1294,Tharun Bhascker Dhaassyam,B. V. Nandini Reddy,Nag Ashwin,Sankalp Reddy,null,null,null,null,null,null,null,null,null
s1295,null,null,null,null,null,null,null,null,null,null,null,null,null
s1296,Prateek Vats,null,null,null,null,null,null,null,null,null,null,null,null
s1297,null,null,null,null,null,null,null,null,null,null,null,null,null
s1298,Alex Merkin,null,null,null,null,null,null,null,null,null,null,null,null
s1299,null,null,null,null,null,null,null,null,null,null,null,null,null
s1300,null,null,null,null,null,null,null,null,null,null,null,null,null
s1301,null,null,null,null,null,null,null,null,null,null,null,null,null
s1302,null,null,null,null,null,null,null,null,null,null,null,null,null
s1303,null,null,null,null,null,null,null,null,null,null,null,null,null
s1304,Ian Cheney,null,null,null,null,null,null,null,null,null,null,null,null
s1305,Ben Simms,null,null,null,null,null,null,null,null,null,null,null,null
s1306,Vikram Bhatt,null,null,null,null,null,null,null,null,null,null,null,null
s1307,null,null,null,null,null,null,null,null,null,null,null,null,null
s1308,Dallas Jenkins,null,null,null,null,null,null,null,null,null,null,null,null
s1309,null,null,null,null,null,null,null,null,null,null,null,null,null
s1310,Damián Romay,null,null,null,null,null,null,null,null,null,null,null,null
s1311,null,null,null,null,null,null,null,null,null,null,null,null,null
s1312,Hamisha Daryani Ahuja,null,null,null,null,null,null,null,null,null,null,null,null
s1313,Hong Khaou,null,null,null,null,null,null,null,null,null,null,null,null
s1314,null,null,null,null,null,null,null,null,null,null,null,null,null
s1315,null,null,null,null,null,null,null,null,null,null,null,null,null
s1316,Mario Briongos,null,null,null,null,null,null,null,null,null,null,null,null
s1317,Vinay Bharadwaj,null,null,null,null,null,null,null,null,null,null,null,null
s1318,null,null,null,null,null,null,null,null,null,null,null,null,null
s1319,Michael Fimognari,null,null,null,null,null,null,null,null,null,null,null,null
s1320,Eric D. Cabello Díaz,null,null,null,null,null,null,null,null,null,null,null,null
s1321,null,null,null,null,null,null,null,null,null,null,null,null,null
s1322,null,null,null,null,null,null,null,null,null,null,null,null,null
s1323,Clara Martínez-Lázaro,null,null,null,null,null,null,null,null,null,null,null,null
s1324,Monty Tiwa,null,null,null,null,null,null,null,null,null,null,null,null
s1325,Ava DuVernay,null,null,null,null,null,null,null,null,null,null,null,null
s1326,Alain Darborg,null,null,null,null,null,null,null,null,null,null,null,null
s1327,Filip Zylber,null,null,null,null,null,null,null,null,null,null,null,null
s1328,Ava DuVernay,null,null,null,null,null,null,null,null,null,null,null,null
s1329,Joe Berlinger,null,null,null,null,null,null,null,null,null,null,null,null
s1330,Julien Royal,null,null,null,null,null,null,null,null,null,null,null,null
s1331,Brian Baugh,null,null,null,null,null,null,null,null,null,null,null,null
s1332,null,null,null,null,null,null,null,null,null,null,null,null,null
s1333,null,null,null,null,null,null,null,null,null,null,null,null,null
s1334,Todd Phillips,null,null,null,null,null,null,null,null,null,null,null,null
s1335,Henri Wong,null,null,null,null,null,null,null,null,null,null,null,null
s1336,null,null,null,null,null,null,null,null,null,null,null,null,null
s1337,Maïa Sandoz,null,null,null,null,null,null,null,null,null,null,null,null
s1338,Mostofa Sarwar Farooki,null,null,null,null,null,null,null,null,null,null,null,null
s1339,null,null,null,null,null,null,null,null,null,null,null,null,null
s1340,null,null,null,null,null,null,null,null,null,null,null,null,null
s1341,Joseph Hsu,null,null,null,null,null,null,null,null,null,null,null,null
s1342,Sam Levinson,null,null,null,null,null,null,null,null,null,null,null,null
s1343,Jo Sung-hee,null,null,null,null,null,null,null,null,null,null,null,null
s1344,Michèle Ohayon,null,null,null,null,null,null,null,null,null,null,null,null
s1345,Rocco Ricciardulli,null,null,null,null,null,null,null,null,null,null,null,null
s1346,Guo Jingming,null,null,null,null,null,null,null,null,null,null,null,null
s1347,Jan Belcl,null,null,null,null,null,null,null,null,null,null,null,null
s1348,Esteban Crespo,null,null,null,null,null,null,null,null,null,null,null,null
s1349,null,null,null,null,null,null,null,null,null,null,null,null,null
s1350,null,null,null,null,null,null,null,null,null,null,null,null,null
s1351,null,null,null,null,null,null,null,null,null,null,null,null,null
s1352,Noé González,null,null,null,null,null,null,null,null,null,null,null,null
s1353,null,null,null,null,null,null,null,null,null,null,null,null,null
s1354,Dennis Dugan,null,null,null,null,null,null,null,null,null,null,null,null
s1355,null,null,null,null,null,null,null,null,null,null,null,null,null
s1356,null,null,null,null,null,null,null,null,null,null,null,null,null
s1357,null,null,null,null,null,null,null,null,null,null,null,null,null
s1358,Sarah Gavron,null,null,null,null,null,null,null,null,null,null,null,null
s1359,Martin Scorsese,null,null,null,null,null,null,null,null,null,null,null,null
s1360,Roger Donaldson,null,null,null,null,null,null,null,null,null,null,null,null
s1361,Richard Arellano,null,null,null,null,null,null,null,null,null,null,null,null
s1362,null,null,null,null,null,null,null,null,null,null,null,null,null
s1363,null,null,null,null,null,null,null,null,null,null,null,null,null
s1364,null,null,null,null,null,null,null,null,null,null,null,null,null
s1365,Jon Favreau,null,null,null,null,null,null,null,null,null,null,null,null
s1366,null,null,null,null,null,null,null,null,null,null,null,null,null
s1367,Marco Pontecorvo,null,null,null,null,null,null,null,null,null,null,null,null
s1368,Gregory Plotkin,null,null,null,null,null,null,null,null,null,null,null,null
s1369,Lluís Quílez,null,null,null,null,null,null,null,null,null,null,null,null
s1370,Jude Weng,null,null,null,null,null,null,null,null,null,null,null,null
s1371,Simon Stone,null,null,null,null,null,null,null,null,null,null,null,null
s1372,null,null,null,null,null,null,null,null,null,null,null,null,null
s1373,Noviandra Santosa,null,null,null,null,null,null,null,null,null,null,null,null
s1374,null,null,null,null,null,null,null,null,null,null,null,null,null
s1375,Jeremy Grant,null,null,null,null,null,null,null,null,null,null,null,null
